id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
PTTG1	6	4.0536e-07	4.1121e-06	0.001169	69	6	-0.97368	1.0	1.0	1.0	20422	0	-0.97368
GOLGA6L4	4	4.0765e-07	1.6932e-06	0.00077	70	4	-1.5693	1.0	1.0	1.0	20421	0	-1.5693
GNB2L1	6	4.1171e-07	4.1121e-06	0.001169	71	6	-1.6145	1.0	1.0	1.0	20420	0	-1.6145
hsa-mir-483	4	4.7085e-07	1.6932e-06	0.00077	72	4	-1.4782	1.0	1.0	1.0	20418	0	-1.4782
CAD	6	4.9211e-07	4.5959e-06	0.001271	73	5	-1.8964	0.44336	0.44326	1.0	8669	0	-1.8964
UBE2M	6	4.975e-07	5.0797e-06	0.0013	74	6	-1.8994	1.0	1.0	1.0	20417	0	-1.8994
RPS19	6	4.9856e-07	5.0797e-06	0.0013	75	6	-1.9048	0.99999	0.99999	1.0	20357	0	-1.9048
KATNB1	6	4.9952e-07	5.0797e-06	0.0013	76	6	-1.8101	1.0	1.0	1.0	20416	0	-1.8101
GMPPB	6	5.0923e-07	5.0797e-06	0.0013	77	6	-1.542	0.99998	0.99998	1.0	20323	0	-1.542
MRPL39	6	5.4258e-07	5.0797e-06	0.0013	78	5	-1.3877	0.78338	0.7835	1.0	15229	0	-1.3877
TAF1B	6	5.4444e-07	5.0797e-06	0.0013	79	6	-1.0663	1.0	1.0	1.0	20414	0	-1.0663
POP5	6	5.5322e-07	5.5634e-06	0.001372	80	6	-1.7964	0.99992	0.99992	1.0	20270	0	-1.7964
RPL15	6	5.5792e-07	5.5634e-06	0.001372	81	6	-1.516	1.0	1.0	1.0	20413	0	-1.516
RAD9A	6	5.6205e-07	5.5634e-06	0.001372	82	6	-1.5443	1.0	1.0	1.0	20412	0	-1.5443
C15orf41	6	6.3926e-07	7.0148e-06	0.001709	83	6	-1.7327	1.0	1.0	1.0	20402	0	-1.7327
NLE1	6	7.0507e-07	7.4986e-06	0.001805	84	4	-1.9629	0.97284	0.9729	1.0	19122	0	-1.9629
RPL23A	6	7.19e-07	7.9823e-06	0.001836	85	5	-1.6684	0.98251	0.98267	1.0	19378	0	-1.6684
HTRA2	6	7.3686e-07	7.9823e-06	0.001836	86	5	-1.1152	0.99924	0.99924	1.0	20116	0	-1.1152
RPTOR	6	7.5507e-07	7.9823e-06	0.001836	87	5	-1.5067	0.88688	0.88685	1.0	17232	0	-1.5067
NELFCD	6	7.6367e-07	7.9823e-06	0.001836	88	6	-1.6931	0.99999	0.99999	1.0	20364	0	-1.6931
PSMB3	6	7.894e-07	8.4661e-06	0.001883	89	6	-1.6115	1.0	1.0	1.0	20405	0	-1.6115
TPI1	6	8.0058e-07	8.4661e-06	0.001883	90	6	-1.7472	0.99995	0.99995	1.0	20292	0	-1.7472
IMPDH2	6	8.0072e-07	8.4661e-06	0.001883	91	6	-1.1291	1.0	1.0	1.0	20410	0	-1.1291
POLR3K	6	9.5774e-07	9.4337e-06	0.001971	92	6	-1.7407	1.0	1.0	1.0	20406	0	-1.7407
RPL18A	6	9.6368e-07	9.4337e-06	0.001971	93	6	-1.4965	1.0	1.0	1.0	20408	0	-1.4965
RPL38	6	9.6704e-07	9.4337e-06	0.001971	94	5	-1.5433	0.99953	0.99953	1.0	20161	0	-1.5433
SNRPF	6	1.0059e-06	9.4337e-06	0.001971	95	6	-1.4143	0.99994	0.99994	1.0	20280	0	-1.4143
CRCP	6	1.0244e-06	9.9174e-06	0.001971	96	6	-1.4041	0.99996	0.99996	1.0	20298	0	-1.4041
RPL12	6	1.0342e-06	9.9174e-06	0.001971	97	5	-1.5195	0.99868	0.99866	1.0	20051	0	-1.5195
RRP9	6	1.0358e-06	9.9174e-06	0.001971	98	6	-1.2806	1.0	1.0	1.0	20407	0	-1.2806
PSMA6	6	1.0691e-06	9.9174e-06	0.001971	99	5	-1.9698	0.76372	0.76371	1.0	14834	0	-1.9698
RPS18	6	1.0724e-06	9.9174e-06	0.001971	100	4	-2.0813	0.99123	0.99127	1.0	19691	0	-2.0813
EIF3I	6	1.1055e-06	9.9174e-06	0.001971	101	6	-1.3451	1.0	1.0	1.0	20404	0	-1.3451
H2AFZ	6	1.1589e-06	9.9174e-06	0.001971	102	6	-0.72626	0.99991	0.99991	1.0	20266	0	-0.72626
DHX36	6	1.2519e-06	1.0401e-05	0.002027	103	6	-1.1411	1.0	1.0	1.0	20403	0	-1.1411
hsa-mir-4459	4	1.3205e-06	4.5959e-06	0.001271	104	4	-1.3344	0.99729	0.99728	1.0	19961	0	-1.3344
PHB2	6	1.3359e-06	1.0401e-05	0.002027	105	5	-1.6995	0.96868	0.96871	1.0	19024	0	-1.6995
RPL23	6	1.5522e-06	1.1369e-05	0.002195	106	6	-2.1136	1.0	1.0	1.0	20391	0	-2.1136
UBL5	6	1.5737e-06	1.1853e-05	0.002267	107	6	-1.4463	1.0	1.0	1.0	20401	0	-1.4463
MRPL21	6	1.6371e-06	1.2336e-05	0.002327	108	6	-1.3676	1.0	1.0	1.0	20400	0	-1.3676
MRPL53	6	1.7025e-06	1.282e-05	0.002327	109	6	-1.463	0.99998	0.99998	1.0	20319	0	-1.463
DDX18	6	1.7225e-06	1.282e-05	0.002327	110	5	-1.6347	0.99061	0.99066	1.0	19665	0	-1.6347
UTP14A	6	1.7399e-06	1.282e-05	0.002327	111	6	-1.2139	1.0	1.0	1.0	20399	0	-1.2139
DHX15	6	1.7634e-06	1.282e-05	0.002327	112	6	-1.396	0.99999	1.0	1.0	20373	0	-1.396
EIF2B5	6	1.7769e-06	1.3304e-05	0.002327	113	4	-1.8116	0.98868	0.98877	1.0	19602	0	-1.8116
SCD	6	1.7995e-06	1.3304e-05	0.002327	114	6	-1.1984	1.0	1.0	1.0	20398	0	-1.1984
NUP93	6	1.8232e-06	1.3304e-05	0.002327	115	6	-1.2508	1.0	1.0	1.0	20397	0	-1.2508
PCF11	6	1.83e-06	1.3304e-05	0.002327	116	6	-1.2032	1.0	1.0	1.0	20396	0	-1.2032
WDR83	6	1.8369e-06	1.3304e-05	0.002327	117	5	-1.596	0.68689	0.68678	1.0	13349	0	-1.596
SNAP23	6	1.8904e-06	1.3788e-05	0.002371	118	5	-1.3629	0.99694	0.997	1.0	19938	0	-1.3629
TP53RK	6	1.9213e-06	1.3788e-05	0.002371	119	6	-1.3189	1.0	1.0	1.0	20395	0	-1.3189
SF3B1	6	2.0012e-06	1.4271e-05	0.002378	120	5	-1.4171	0.99927	0.99927	1.0	20122	0	-1.4171
UFD1L	6	2.065e-06	1.4271e-05	0.002378	121	4	-1.579	0.9451	0.94512	1.0	18463	0	-1.579
BRF1	6	2.1066e-06	1.4755e-05	0.002378	122	6	-1.5887	1.0	1.0	1.0	20378	0	-1.5887
DAP3	6	2.1084e-06	1.4755e-05	0.002378	123	6	-1.5829	1.0	1.0	1.0	20390	0	-1.5829
PARS2	6	2.1106e-06	1.4755e-05	0.002378	124	6	-1.2539	1.0	1.0	1.0	20394	0	-1.2539
DUT	6	2.1363e-06	1.4755e-05	0.002378	125	6	-1.3745	0.99989	0.99989	1.0	20253	0	-1.3745
PSMB7	6	2.2182e-06	1.6207e-05	0.002551	126	5	-1.8083	0.99675	0.9968	1.0	19924	0	-1.8083
RPL7	6	2.2252e-06	1.6207e-05	0.002551	127	5	-1.8633	0.76794	0.76799	1.0	14919	0	-1.8633
PPP1R15B	6	2.2309e-06	1.6207e-05	0.002551	128	5	-1.2986	0.038636	0.068396	0.971013	1383	1	-1.2986
POLE2	6	2.2833e-06	1.669e-05	0.002608	129	4	-1.0958	0.98534	0.98547	1.0	19470	0	-1.0958
SNRNP35	6	2.2989e-06	1.7174e-05	0.002643	130	5	-1.3016	0.99086	0.99088	1.0	19677	0	-1.3016
SEC61A1	6	2.3381e-06	1.7174e-05	0.002643	131	6	-1.0448	1.0	1.0	1.0	20393	0	-1.0448
GRPEL1	6	2.437e-06	1.8142e-05	0.00275	132	6	-1.1418	1.0	1.0	1.0	20392	0	-1.1418
PRIM2	6	2.4971e-06	1.8625e-05	0.002782	133	6	-1.4052	1.0	1.0	1.0	20389	0	-1.4052
EIF2B2	6	2.5104e-06	1.8625e-05	0.002782	134	6	-1.0885	1.0	1.0	1.0	20388	0	-1.0885
PSMB5	6	2.7448e-06	1.9593e-05	0.002885	135	6	-1.685	0.99995	0.99995	1.0	20296	0	-1.685
COPA	6	2.7533e-06	1.9593e-05	0.002885	136	5	-1.5082	0.98555	0.98567	1.0	19480	0	-1.5082
ATP2A2	6	2.8209e-06	2.0077e-05	0.002935	137	5	-1.8145	0.33228	0.33256	1.0	6547	0	-1.8145
EXOC7	6	2.8919e-06	2.2496e-05	0.00322	138	6	-0.97644	1.0	1.0	1.0	20386	0	-0.97644
TSR1	6	2.9272e-06	2.2496e-05	0.00322	139	5	-1.4963	0.99866	0.99865	1.0	20048	0	-1.4963
BUD31	6	2.9294e-06	2.2496e-05	0.00322	140	5	-1.8292	0.99839	0.99839	1.0	20026	0	-1.8292
RPL30	6	2.9317e-06	2.2979e-05	0.003266	141	5	-1.3414	0.25517	0.25659	1.0	5074	1	-1.3414
MRPL18	6	3.0131e-06	2.3463e-05	0.003311	142	5	-1.5875	0.99358	0.99364	1.0	19776	0	-1.5875
CPSF4	6	3.0444e-06	2.3947e-05	0.003311	143	5	-1.7308	0.76467	0.76467	1.0	14860	0	-1.7308
RPS27	6	3.0651e-06	2.3947e-05	0.003311	144	5	-1.7696	0.9886	0.98868	1.0	19597	0	-1.7696
NRF1	6	3.0697e-06	2.3947e-05	0.003311	145	6	-1.3026	1.0	1.0	1.0	20385	0	-1.3026
SRSF7	6	3.3992e-06	2.5882e-05	0.003555	146	5	-1.4732	0.96841	0.96844	1.0	19019	0	-1.4732
COA5	6	3.4892e-06	2.6366e-05	0.003574	147	6	-1.0271	1.0	1.0	1.0	20383	0	-1.0271
CCT4	6	3.549e-06	2.6366e-05	0.003574	148	6	-1.5273	0.99995	0.99995	1.0	20295	0	-1.5273
CDC20	6	3.7046e-06	2.7333e-05	0.003603	149	6	-1.7914	1.0	1.0	1.0	20382	0	-1.7914
SF1	6	3.7323e-06	2.7333e-05	0.003603	150	5	-1.7964	0.95433	0.95436	1.0	18675	0	-1.7964
DUX2	6	3.7339e-06	2.7333e-05	0.003603	151	6	-1.0948	1.0	1.0	1.0	20381	0	-1.0948
LONP1	6	3.7369e-06	2.7333e-05	0.003603	152	6	-1.3902	0.99996	0.99996	1.0	20301	0	-1.3902
ATP5O	6	3.7602e-06	2.7575e-05	0.003603	153	6	-1.1208	1.0	1.0	1.0	20380	0	-1.1208
CDC16	6	3.7754e-06	2.7817e-05	0.003603	154	5	-1.3627	0.99586	0.99592	1.0	19873	0	-1.3627
C14orf80	6	3.8671e-06	2.7817e-05	0.003603	155	6	-1.4358	1.0	1.0	1.0	20379	0	-1.4358
hsa-mir-6087	4	3.976e-06	1.4755e-05	0.002378	156	4	-1.7122	0.99999	0.99999	1.0	20353	0	-1.7122
SFPQ	6	3.9895e-06	2.9752e-05	0.003728	157	6	-1.8816	1.0	1.0	1.0	20377	0	-1.8816
hsa-mir-1273d	4	4.0273e-06	1.4755e-05	0.002378	158	3	-2.1935	0.77427	0.77403	1.0	15036	0	-2.1935
GFM1	6	4.0502e-06	2.9752e-05	0.003728	159	6	-1.1771	1.0	1.0	1.0	20376	0	-1.1771
BCL2L1	6	4.0759e-06	2.9752e-05	0.003728	160	4	-1.6156	0.11461	0.1326	1.0	2650	1	-1.6156
BARD1	6	4.0879e-06	2.9752e-05	0.003728	161	5	-1.7553	0.20591	0.21113	1.0	4170	1	-1.7553
TUBGCP4	6	4.0939e-06	2.9752e-05	0.003728	162	5	-1.2339	0.94179	0.94186	1.0	18384	0	-1.2339
G6PD	6	4.1245e-06	2.9994e-05	0.003728	163	5	-1.4747	0.98941	0.98949	1.0	19627	0	-1.4747
RPL36	6	4.1546e-06	3.0236e-05	0.003728	164	5	-1.5868	0.9998	0.9998	1.0	20227	0	-1.5868
PRMT5	6	4.1815e-06	3.0236e-05	0.003728	165	3	-1.1325	0.0054729	0.012939	0.8199	309	1	-1.1325
DOLK	6	4.293e-06	3.072e-05	0.003765	166	5	-1.1467	0.3307	0.33097	1.0	6510	0	-1.1467
CEBPZ	6	4.3638e-06	3.1204e-05	0.003801	167	5	-1.2746	0.90263	0.90272	1.0	17546	0	-1.2746
RAN	6	4.4682e-06	3.2171e-05	0.00385	168	5	-1.8672	0.99926	0.99926	1.0	20118	0	-1.8672
ATP6V0D1	6	4.4797e-06	3.2171e-05	0.00385	169	5	-1.3009	0.99975	0.99975	1.0	20212	0	-1.3009
SRSF6	6	4.486e-06	3.2171e-05	0.00385	170	5	-1.4307	0.94622	0.94621	1.0	18487	0	-1.4307
PSMC3	6	4.5401e-06	3.2655e-05	0.003863	171	5	-1.2356	0.9923	0.99237	1.0	19734	0	-1.2356
AHCY	6	4.5755e-06	3.2655e-05	0.003863	172	6	-1.1142	1.0	1.0	1.0	20375	0	-1.1142
RPL4	6	4.6116e-06	3.3139e-05	0.003898	173	4	-1.5475	0.85385	0.85373	1.0	16599	0	-1.5475
DCPS	6	4.8605e-06	3.5558e-05	0.004135	174	5	-1.7131	0.99949	0.99949	1.0	20149	0	-1.7131
DHX33	6	4.888e-06	3.5558e-05	0.004135	175	5	-1.4885	0.93254	0.93265	1.0	18202	0	-1.4885
CDKN2AIP	6	4.9712e-06	3.6041e-05	0.004144	176	5	-1.1003	0.99954	0.99954	1.0	20164	0	-1.1003
NARS2	6	4.9714e-06	3.6041e-05	0.004144	177	6	-1.4828	1.0	1.0	1.0	20374	0	-1.4828
NUDT21	6	5.1622e-06	3.7977e-05	0.004342	178	4	-1.801	0.94235	0.94241	1.0	18404	0	-1.801
NOP58	6	5.2059e-06	3.846e-05	0.004349	179	5	-1.2703	0.15438	0.16611	1.0	3281	1	-1.2703
ALDOA	6	5.2452e-06	3.846e-05	0.004349	180	5	-1.6663	0.99787	0.99789	1.0	19990	0	-1.6663
REXO1L1	6	5.2926e-06	3.8944e-05	0.004379	181	5	-1.902	0.90611	0.90623	1.0	17616	0	-1.902
GTPBP4	6	5.4777e-06	3.9912e-05	0.004464	182	6	-1.2566	0.99999	1.0	1.0	20372	0	-1.2566
RPS25	6	5.6139e-06	4.1363e-05	0.004584	183	4	-1.5314	0.79483	0.7949	1.0	15467	0	-1.5314
SNRPD1	6	5.6899e-06	4.1847e-05	0.004584	184	6	-1.4164	0.99994	0.99994	1.0	20282	0	-1.4164
PRPF38B	6	5.7824e-06	4.2331e-05	0.004584	185	5	-1.2417	0.99877	0.99876	1.0	20060	0	-1.2417
RABGGTB	6	5.7979e-06	4.2331e-05	0.004584	186	6	-0.91548	0.99997	0.99997	1.0	20311	0	-0.91548
INO80C	6	5.8004e-06	4.2331e-05	0.004584	187	4	-0.80925	0.97443	0.97454	1.0	19171	0	-0.80925
LSM2	6	5.8043e-06	4.2331e-05	0.004584	188	6	-1.2834	0.99999	1.0	1.0	20371	0	-1.2834
IARS2	6	5.9114e-06	4.3298e-05	0.004664	189	5	-1.2153	0.93063	0.93074	1.0	18156	0	-1.2153
RPS28	6	6.0655e-06	4.4749e-05	0.004795	190	6	-0.86652	0.99999	1.0	1.0	20370	0	-0.86652
TIMM13	6	6.1548e-06	4.5717e-05	0.004873	191	4	-0.75909	0.49844	0.49818	1.0	9723	0	-0.75909
SNRPG	6	6.2916e-06	4.6685e-05	0.00495	192	5	-1.4761	0.98834	0.98842	1.0	19583	0	-1.4761
TMEM199	6	6.4452e-06	4.8136e-05	0.005077	193	6	-1.4475	0.99999	1.0	1.0	20369	0	-1.4475
XRCC6	6	6.5382e-06	4.862e-05	0.005077	194	6	-1.0088	0.99999	1.0	1.0	20368	0	-1.0088
WDR43	6	6.5657e-06	4.862e-05	0.005077	195	5	-1.3834	0.86944	0.86941	1.0	16891	0	-1.3834
THOC3	6	6.6479e-06	4.9103e-05	0.005101	196	5	-1.2882	0.99854	0.99852	1.0	20037	0	-1.2882
HARS	6	6.9698e-06	5.0555e-05	0.00512	197	5	-1.4332	0.99475	0.99478	1.0	19824	0	-1.4332
AK6	6	6.9742e-06	5.0555e-05	0.00512	198	5	-1.3479	0.94841	0.94842	1.0	18540	0	-1.3479
C9orf114	6	7.0103e-06	5.0555e-05	0.00512	199	6	-1.3499	0.99996	0.99996	1.0	20300	0	-1.3499
MAD2L1	6	7.0466e-06	5.0555e-05	0.00512	200	5	-1.1558	0.96927	0.96932	1.0	19039	0	-1.1558
EIF3D	6	7.1785e-06	5.1039e-05	0.00512	201	6	-1.3264	0.99999	1.0	1.0	20367	0	-1.3264
RBX1	6	7.2751e-06	5.1039e-05	0.00512	202	6	-1.693	0.99998	0.99999	1.0	20338	0	-1.693
HYOU1	6	7.3029e-06	5.1039e-05	0.00512	203	4	-1.801	0.96503	0.96504	1.0	18921	0	-1.801
CCAR1	6	7.4217e-06	5.2006e-05	0.00519	204	6	-1.2087	0.99997	0.99998	1.0	20317	0	-1.2087
POLE3	6	7.4626e-06	5.249e-05	0.00519	205	6	-0.9059	0.99999	0.99999	1.0	20366	0	-0.9059
EEF1B2	6	7.4709e-06	5.249e-05	0.00519	206	6	-0.99563	0.99999	0.99999	1.0	20365	0	-0.99563
SNRPD3	6	7.6708e-06	5.4425e-05	0.005329	207	5	-0.88183	0.95437	0.95438	1.0	18676	0	-0.88183
ENO1	6	7.7079e-06	5.4425e-05	0.005329	208	6	-1.1278	0.99999	0.99999	1.0	20363	0	-1.1278
POLR3H	6	7.7493e-06	5.4909e-05	0.005347	209	4	-1.086	0.61417	0.61414	1.0	11954	0	-1.086
DPAGT1	6	8.194e-06	5.7811e-05	0.005478	210	5	-1.2487	0.99978	0.99978	1.0	20219	0	-1.2487
PSMB4	6	8.3054e-06	5.7811e-05	0.005478	211	6	-0.9461	0.99999	0.99999	1.0	20362	0	-0.9461
RPL26	6	8.3382e-06	5.7811e-05	0.005478	212	5	-1.3313	0.91583	0.91593	1.0	17816	0	-1.3313
hsa-mir-6859-2	2	8.5843e-06	1.7658e-05	0.002697	213	2	-2.6389	0.99974	0.99974	1.0	20209	0	-2.6389
RPS8	6	8.5973e-06	5.9263e-05	0.005558	214	4	-1.7769	0.4752	0.47497	1.0	9300	0	-1.7769
C16orf59	6	8.6709e-06	5.9747e-05	0.005558	215	4	-1.5971	0.44118	0.44108	1.0	8627	0	-1.5971
MINOS1	6	8.777e-06	5.9747e-05	0.005558	216	4	-1.2349	0.30261	0.30282	1.0	5981	0	-1.2349
POLR3A	6	8.8202e-06	5.9747e-05	0.005558	217	6	-1.3436	0.99999	0.99999	1.0	20361	0	-1.3436
NUP54	6	9.0012e-06	6.023e-05	0.005578	218	5	-1.2676	0.99677	0.99682	1.0	19925	0	-1.2676
RPL37A	6	9.0681e-06	6.1198e-05	0.005642	219	6	-1.2777	0.99996	0.99996	1.0	20299	0	-1.2777
RPL8	6	9.2218e-06	6.3133e-05	0.005779	220	5	-1.3892	0.87622	0.8762	1.0	17038	0	-1.3892
