id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CCDC58	6	1.52e-05	9.4578e-05	0.080744	21	5	-1.1275	0.92276	0.92285	1.0	18355	0	-1.1275
PTMA	6	1.6064e-05	9.8449e-05	0.080744	22	4	-0.39404	0.95612	0.9561	1.0	19068	0	-0.39404
MRPL44	6	1.736e-05	0.00010474	0.080744	23	5	-1.1068	0.96467	0.96469	1.0	19256	0	-1.1068
MED21	6	1.814e-05	0.00010667	0.080744	24	5	-1.1698	0.98836	0.98844	1.0	19891	0	-1.1698
SNIP1	6	1.9941e-05	0.00011393	0.080744	25	6	-1.0479	0.99998	0.99998	1.0	20455	0	-1.0479
RHOQ	6	2.1442e-05	0.00012264	0.08133	26	4	-0.59538	0.48718	0.4878	1.0	9608	1	-0.59538
RPL39L	5	2.1461e-05	9.1676e-05	0.080744	27	3	-0.68538	0.82649	0.82671	1.0	16324	0	-0.68538
hsa-mir-6785	4	2.3301e-05	9.4578e-05	0.080744	28	4	-0.93024	0.99998	0.99998	1.0	20454	0	-0.93024
SNX22	6	2.3849e-05	0.00013667	0.08133	29	6	-0.6516	0.99843	0.99843	1.0	20329	0	-0.6516
DNAJC8	6	2.3962e-05	0.00013763	0.08133	30	4	-0.39531	0.97094	0.971	1.0	19423	0	-0.39531
MSTO1	6	2.6579e-05	0.00015094	0.085809	31	6	-0.98038	0.99957	0.99956	1.0	20405	0	-0.98038
hsa-mir-6165	4	2.7784e-05	0.00011151	0.080744	32	4	-0.65229	0.99997	0.99997	1.0	20453	0	-0.65229
HNRNPD	6	2.825e-05	0.00015965	0.087936	33	5	-1.1369	0.96979	0.96984	1.0	19398	0	-1.1369
hsa-mir-619	4	2.8667e-05	0.00011441	0.080744	34	3	-0.25417	0.37288	0.37253	1.0	7691	1	-0.25417
GOLGA6A	6	3.0555e-05	0.00017489	0.08923	35	6	-1.2486	0.99986	0.99986	1.0	20433	0	-1.2486
CCDC144A	5	3.0802e-05	0.00013909	0.08133	36	5	-0.66954	0.99079	0.99079	1.0	19988	0	-0.66954
PTTG1	6	3.0997e-05	0.00017779	0.08923	37	3	-0.094318	0.44073	0.44553	1.0	8808	1	-0.094318
hsa-mir-6076	4	3.3425e-05	0.00012989	0.08133	38	4	-0.87935	0.99997	0.99996	1.0	20452	0	-0.87935
hsa-mir-4516	4	3.4171e-05	0.0001328	0.08133	39	4	-0.92001	0.99997	0.99996	1.0	20451	0	-0.92001
hsa-mir-4499	4	4.2168e-05	0.00016327	0.087936	40	4	-0.73648	0.99978	0.99977	1.0	20425	0	-0.73648
HERC2	6	4.3015e-05	0.00024116	0.107297	41	5	-1.3855	0.84224	0.8422	1.0	16645	0	-1.3855
WDR6	6	4.4922e-05	0.00024987	0.108806	42	6	-1.0139	0.99996	0.99996	1.0	20450	0	-1.0139
hsa-mir-4632	4	4.6344e-05	0.00017876	0.08923	43	4	-1.4061	0.99995	0.99995	1.0	20449	0	-1.4061
KARS	6	4.9005e-05	0.00026777	0.108911	44	5	-0.4713	0.94067	0.94071	1.0	18726	0	-0.4713
hsa-mir-6891	4	5.0221e-05	0.00019327	0.094177	45	4	-0.28608	0.99995	0.99995	1.0	20448	0	-0.28608
PPP2R4	6	5.0331e-05	0.00027648	0.108911	46	5	-0.99244	0.97335	0.97343	1.0	19492	0	-0.99244
TBC1D16	6	5.0378e-05	0.00027672	0.108911	47	3	-0.47058	0.14714	0.2302	0.993849	4589	1	-0.47058
AASDHPPT	6	5.3586e-05	0.00029244	0.112241	48	5	-1.089	0.92728	0.92739	1.0	18439	0	-1.089
KRT17	6	5.4774e-05	0.00029922	0.112241	49	6	-0.95655	0.99995	0.99995	1.0	20447	0	-0.95655
hsa-mir-1207	4	5.5288e-05	0.00021165	0.100737	50	4	-0.71607	0.99994	0.99994	1.0	20446	0	-0.71607
PMPCB	6	5.8085e-05	0.00031276	0.114303	51	4	-1.1095	0.78412	0.78427	1.0	15447	0	-1.1095
hsa-mir-6845	4	6.0188e-05	0.00023439	0.107297	52	4	-0.4554	0.99078	0.99076	1.0	19986	0	-0.4554
hsa-mir-5684	4	6.0847e-05	0.0002402	0.107297	53	4	-1.2297	0.99994	0.99993	1.0	20445	0	-1.2297
CPSF3	6	6.1588e-05	0.00032824	0.117857	54	6	-1.2279	0.99994	0.99994	1.0	20444	0	-1.2279
PSMD14	6	6.5045e-05	0.00034614	0.122084	55	6	-1.0305	0.99789	0.99791	1.0	20306	0	-1.0305
PPP2CA	5	6.5287e-05	0.00030164	0.112241	56	4	-0.69577	0.93786	0.93804	1.0	18657	0	-0.69577
hsa-mir-328	4	6.5818e-05	0.00026245	0.108911	57	4	-1.2124	0.99993	0.99993	1.0	20443	0	-1.2124
EWSR1	6	6.6182e-05	0.00035195	0.122084	58	4	-1.439	0.75702	0.75712	1.0	14926	0	-1.439
hsa-mir-1281	4	6.7568e-05	0.00027164	0.108911	59	3	-0.85497	0.4214	0.42115	1.0	8493	0	-0.85497
RNPS1	6	6.9045e-05	0.00036743	0.12533	60	6	-0.54552	0.99458	0.99461	1.0	20159	0	-0.54552
DCTN2	6	7.1428e-05	0.00037856	0.125728	61	5	-0.75497	0.83357	0.8335	1.0	16455	0	-0.75497
HHLA3	6	7.3995e-05	0.00038678	0.125728	62	5	-0.35111	0.97999	0.98014	1.0	19667	0	-0.35111
UBA52	6	7.5998e-05	0.00039597	0.125728	63	4	-0.33037	0.4103	0.41937	1.0	8308	1	-0.33037
ALG1L	6	7.7417e-05	0.00040081	0.125728	64	4	-0.59979	0.74062	0.74071	1.0	14631	0	-0.59979
PIGL	6	7.8944e-05	0.00040976	0.125728	65	6	-0.71572	0.99992	0.99992	1.0	20442	0	-0.71572
GABPB1	6	7.92e-05	0.00041242	0.125728	66	6	-1.083	0.99992	0.99992	1.0	20441	0	-1.083
SMG1	6	8.4845e-05	0.00044822	0.129882	67	5	-0.62693	0.21988	0.27692	1.0	5527	1	-0.62693
DPM3	6	8.5859e-05	0.00045644	0.129882	68	6	-0.98372	0.99991	0.99992	1.0	20440	0	-0.98372
EIF2B3	6	8.5939e-05	0.00045693	0.129882	69	4	-0.86437	0.92719	0.92731	1.0	18435	0	-0.86437
NSA2	6	0.00010111	0.00054739	0.151391	70	4	-0.39123	0.88412	0.8841	1.0	17547	0	-0.39123
POM121C	4	0.00010152	0.00040807	0.125728	71	3	-0.97001	0.94127	0.94122	1.0	18740	0	-0.97001
CIT	6	0.00010327	0.00055949	0.152673	72	5	-0.96495	0.99092	0.99095	1.0	19998	0	-0.96495
hsa-mir-566	4	0.00010478	0.00041774	0.125728	73	4	-0.18894	0.9999	0.99989	1.0	20439	0	-0.18894
RPL21	6	0.00010775	0.00058803	0.158351	74	6	-0.30466	0.99985	0.99985	1.0	20432	0	-0.30466
RMDN2	6	0.00011004	0.00060061	0.159637	75	6	-0.74576	0.99989	0.99989	1.0	20438	0	-0.74576
DNAAF2	6	0.00011297	0.00061706	0.161907	76	6	-1.1511	0.99989	0.99989	1.0	20437	0	-1.1511
PREB	6	0.00011667	0.00063834	0.162823	77	6	-1.2116	0.99988	0.99989	1.0	20436	0	-1.2116
SMARCE1	6	0.00011696	0.00063931	0.162823	78	3	-0.23843	0.67742	0.67735	1.0	13315	0	-0.23843
CHD8	6	0.00011839	0.00064996	0.162823	79	5	-1.2016	0.76153	0.76156	1.0	15023	0	-1.2016
H2AFZ	6	0.00011904	0.00065237	0.162823	80	4	-0.30983	0.74809	0.74821	1.0	14768	0	-0.30983
SYNCRIP	6	0.00012458	0.00067463	0.165785	81	6	-0.93088	0.99988	0.99988	1.0	20435	0	-0.93088
hsa-mir-631	4	0.00012737	0.00050821	0.142479	82	4	-1.3344	0.99987	0.99987	1.0	20434	0	-1.3344
PMAIP1	6	0.00012876	0.00069978	0.165785	83	5	-0.67015	0.93904	0.93913	1.0	18685	0	-0.67015
ANKRD36	6	0.00013015	0.00070801	0.165785	84	4	-0.87639	0.10479	0.17257	0.9888	3476	1	-0.87639
NPRL2	6	0.00013094	0.00071285	0.165785	85	5	-1.212	0.74709	0.74724	1.0	14750	0	-1.212
NKAP	6	0.00013731	0.00074768	0.170792	86	4	-0.65951	0.71938	0.7195	1.0	14185	0	-0.65951
SPIC	6	0.00013758	0.00075106	0.170792	87	5	-0.684	0.73111	0.73121	1.0	14446	0	-0.684
MEX3B	6	0.00014041	0.00076461	0.171962	88	4	-1.029	0.099423	0.16506	0.983985	3341	1	-1.029
hsa-mir-548aj-1	3	0.00014278	0.00043854	0.129882	89	2	-0.53779	0.15941	0.16851	0.985006	4738	1	-0.53779
HNRNPU	6	0.00014604	0.00080089	0.174373	90	4	-0.81243	0.98809	0.98816	1.0	19881	0	-0.81243
TPR	6	0.00015482	0.00084927	0.179698	91	6	-0.65956	0.99786	0.99789	1.0	20304	0	-0.65956
ANAPC1	6	0.00015505	0.00085169	0.179698	92	6	-1.1707	0.99718	0.99723	1.0	20271	0	-1.1707
HHLA2	6	0.00017118	0.00093829	0.19203	93	6	-0.96035	0.99983	0.99982	1.0	20431	0	-0.96035
UTP15	6	0.00017542	0.00096683	0.194574	94	6	-0.67281	0.99829	0.9983	1.0	20322	0	-0.67281
hsa-mir-5787	4	0.00017571	0.0006843	0.165785	95	4	-0.40837	0.99982	0.99982	1.0	20430	0	-0.40837
hsa-mir-7113	4	0.00017811	0.00069108	0.165785	96	4	-1.1983	0.99982	0.99982	1.0	20429	0	-1.1983
AHCTF1	6	0.00018964	0.00105	0.207207	97	5	-1.2235	0.46951	0.47131	1.0	9307	1	-1.2235
KRT25	6	0.00019043	0.0010529	0.207207	98	6	-1.0031	0.99981	0.9998	1.0	20428	0	-1.0031
RPS26	6	0.00020114	0.0011023	0.214851	99	4	-1.076	0.17731	0.24929	1.0	4961	1	-1.076
hsa-mir-1255a	4	0.0002039	0.00078638	0.174373	100	3	-0.956	0.059914	0.10335	0.964524	2287	1	-0.956
CDH15	6	0.00020546	0.0011231	0.216841	101	6	-1	0.99979	0.99979	1.0	20427	0	-1
hsa-mir-4651	4	0.00020734	0.00079896	0.174373	102	4	-0.56097	0.9969	0.99691	1.0	20248	0	-0.56097
C17orf47	6	0.00021262	0.0011618	0.21999	103	6	-0.82912	0.99979	0.99978	1.0	20426	0	-0.82912
DCAF13	6	0.0002205	0.001201	0.21999	104	5	-1.2762	0.80361	0.80356	1.0	15846	0	-1.2762
HIST2H3D	6	0.00022308	0.0012121	0.21999	105	5	-1.2874	0.98949	0.98957	1.0	19935	0	-1.2874
NAE1	6	0.00022951	0.0012392	0.21999	106	5	-0.64567	0.82577	0.82574	1.0	16308	0	-0.64567
DEPDC5	6	0.00023176	0.0012494	0.21999	107	4	-0.99159	0.62406	0.62403	1.0	12270	0	-0.99159
TMEM88	6	0.00023337	0.0012581	0.21999	108	6	-0.79084	0.99977	0.99976	1.0	20424	0	-0.79084
hsa-mir-1269b	4	0.00023357	0.00090636	0.187369	109	4	-0.58018	0.99889	0.99888	1.0	20356	0	-0.58018
POLRMT	6	0.00023358	0.00126	0.21999	110	3	-0.17827	0.85814	0.85809	1.0	17008	0	-0.17827
PGS1	6	0.00023632	0.0012735	0.21999	111	5	-0.94129	0.98947	0.98956	1.0	19934	0	-0.94129
HELQ	6	0.00023949	0.001289	0.21999	112	5	-0.78177	0.083877	0.14328	0.973626	2936	1	-0.78177
MZT1	6	0.00024157	0.0013006	0.21999	113	6	-0.82509	0.99976	0.99976	1.0	20423	0	-0.82509
GRIA3	6	0.00024618	0.0013292	0.222975	114	3	-0.48466	0.73397	0.73405	1.0	14504	0	-0.48466
hsa-mir-6812	4	0.00025217	0.00096973	0.194574	115	4	-0.96624	0.99423	0.99425	1.0	20147	0	-0.96624
NPM1	6	0.00025424	0.0013727	0.224752	116	4	-0.32123	0.81825	0.81813	1.0	16135	0	-0.32123
LSM12	6	0.00025889	0.0013984	0.226047	117	6	-1.3096	0.99968	0.99968	1.0	20419	0	-1.3096
SPATC1	6	0.00025944	0.0014027	0.226047	118	5	-1.0725	0.068545	0.12179	0.967493	2527	1	-1.0725
FAM32A	6	0.0002635	0.0014284	0.226476	119	6	-0.41515	0.99955	0.99954	1.0	20402	0	-0.41515
SRSF1	6	0.00026725	0.0014467	0.226476	120	5	-0.54106	0.69084	0.69074	1.0	13595	0	-0.54106
NCOR1	6	0.00027468	0.0014912	0.226476	121	6	-1.4222	0.99973	0.99973	1.0	20422	0	-1.4222
U2AF1	6	0.00027519	0.0014941	0.226476	122	5	-0.55269	0.99114	0.99119	1.0	20007	0	-0.55269
ZNHIT2	6	0.00027778	0.0015087	0.226476	123	5	-1.0186	0.98301	0.98316	1.0	19743	0	-1.0186
UPP2	6	0.00027779	0.0015087	0.226476	124	5	-0.6189	0.98207	0.98225	1.0	19716	0	-0.6189
NCAPG2	6	0.00027791	0.0015091	0.226476	125	6	-0.96959	0.99972	0.99972	1.0	20421	0	-0.96959
EXOSC7	6	0.00027954	0.0015188	0.226476	126	6	-0.9535	0.99733	0.99735	1.0	20275	0	-0.9535
MXRA7	6	0.00028222	0.0015333	0.226476	127	4	-0.58558	0.97488	0.975	1.0	19537	0	-0.58558
KANSL3	6	0.00028251	0.0015343	0.226476	128	5	-0.98233	0.59876	0.59883	1.0	11764	0	-0.98233
PPP4R2	6	0.00028325	0.0015382	0.226476	129	5	-1.4699	0.92961	0.92974	1.0	18488	0	-1.4699
CCT5	6	0.00029051	0.0015759	0.227214	130	4	-0.91918	0.99283	0.9929	1.0	20087	0	-0.91918
MRPS18A	6	0.00029355	0.0015938	0.227214	131	4	-1.0708	0.4996	0.49965	1.0	9835	1	-1.0708
CACYBP	6	0.00029743	0.0016093	0.227214	132	5	-1.1418	0.48966	0.49016	1.0	9653	1	-1.1418
PRIM1	6	0.00029978	0.0016209	0.227214	133	5	-0.32149	0.84269	0.84265	1.0	16660	0	-0.32149
CBWD5	3	0.00030317	0.00088023	0.183825	134	3	-0.90741	0.98637	0.98652	1.0	19833	0	-0.90741
hsa-mir-1273d	4	0.00030497	0.0011628	0.21999	135	3	-0.8632	0.61928	0.61914	1.0	12181	0	-0.8632
OGDH	6	0.00030519	0.0016494	0.228477	136	6	-0.77687	0.99969	0.99969	1.0	20420	0	-0.77687
RPL34	6	0.00030989	0.0016785	0.228477	137	3	-0.38575	0.79138	0.79148	1.0	15589	0	-0.38575
hsa-mir-7975	4	0.00031086	0.001185	0.21999	138	4	-1.2409	0.98524	0.9852	1.0	19806	0	-1.2409
VDAC2	6	0.00031716	0.0017085	0.228477	139	6	-0.87057	0.99758	0.99761	1.0	20289	0	-0.87057
MEF2C	6	0.0003179	0.0017109	0.228477	140	6	-0.98424	0.99966	0.99966	1.0	20413	0	-0.98424
FOXD4	6	0.0003213	0.0017297	0.228477	141	3	-0.5211	0.11888	0.19238	0.991113	3854	1	-0.5211
hsa-mir-611	4	0.00032314	0.0012266	0.21999	142	4	-0.71583	0.99968	0.99966	1.0	20418	0	-0.71583
MTMR2	6	0.00032469	0.0017486	0.228477	143	4	-1.2948	0.43701	0.44224	1.0	8743	1	-1.2948
PSMB4	6	0.00032554	0.0017515	0.228477	144	4	-0.40209	0.98798	0.98805	1.0	19877	0	-0.40209
B3GALT4	6	0.00032555	0.0017515	0.228477	145	6	-1.0794	0.99967	0.99967	1.0	20417	0	-1.0794
TXN	6	0.00032711	0.0017564	0.228477	146	6	-0.68607	0.99967	0.99967	1.0	20416	0	-0.68607
LILRB5	6	0.0003284	0.001766	0.228477	147	4	-0.42	0.53819	0.53807	1.0	10572	0	-0.42
COX6C	6	0.00032959	0.0017709	0.228477	148	6	-0.85256	0.99967	0.99967	1.0	20415	0	-0.85256
MFN2	6	0.00033253	0.001783	0.228477	149	5	-0.70764	0.6288	0.62869	1.0	12369	0	-0.70764
hsa-mir-6832	4	0.00033531	0.0012711	0.21999	150	4	-1.2171	0.99966	0.99965	1.0	20414	0	-1.2171
RABGGTB	6	0.00034088	0.0018284	0.228477	151	6	-0.70195	0.99931	0.99931	1.0	20381	0	-0.70195
CHMP4B	6	0.00034107	0.0018284	0.228477	152	6	-0.84391	0.99947	0.99946	1.0	20396	0	-0.84391
hsa-mir-4647	4	0.00034163	0.0012934	0.21999	153	3	-1.4992	0.62212	0.62196	1.0	12232	0	-1.4992
ARVCF	6	0.00034181	0.0018309	0.228477	154	4	-1.4147	0.92407	0.92416	1.0	18381	0	-1.4147
C2orf54	6	0.00035297	0.0018908	0.232614	155	4	-0.50037	0.96881	0.96883	1.0	19367	0	-0.50037
GPAT2	6	0.00035409	0.0018966	0.232614	156	6	-0.87015	0.99965	0.99964	1.0	20411	0	-0.87015
RPS9	6	0.00035484	0.0018981	0.232614	157	6	-0.68114	0.99965	0.99964	1.0	20410	0	-0.68114
WNT1	6	0.00035735	0.0019121	0.232819	158	6	-0.89437	0.99858	0.99857	1.0	20337	0	-0.89437
GMPPB	6	0.00036108	0.0019286	0.232819	159	5	-0.4027	0.077394	0.13431	0.971983	2768	1	-0.4027
AKAP13	6	0.00036247	0.0019339	0.232819	160	6	-0.96598	0.99964	0.99963	1.0	20409	0	-0.96598
BUD31	6	0.00037138	0.0019837	0.236041	161	4	-0.32031	0.086125	0.14648	0.973626	3006	1	-0.32031
DNAJC17	6	0.00037634	0.0020103	0.237824	162	5	-0.9664	0.10121	0.16757	0.983985	3390	1	-0.9664
NAA25	6	0.00037897	0.0020229	0.237937	163	2	-0.33729	0.72638	0.72648	1.0	14345	0	-0.33729
ETAA1	6	0.00038808	0.0020756	0.240169	164	4	-0.89882	0.37422	0.38984	1.0	7703	1	-0.89882
TRIM43	6	0.00039689	0.0021182	0.243482	165	5	-0.96147	0.96651	0.96655	1.0	19312	0	-0.96147
hsa-mir-6880	4	0.0004002	0.0015091	0.226476	166	3	-0.45797	0.33947	0.34016	1.0	7186	1	-0.45797
TAF6L	6	0.00040099	0.0021361	0.243482	167	6	-0.87437	0.9996	0.99959	1.0	20408	0	-0.87437
RFC1	6	0.00041315	0.0022072	0.248531	168	5	-0.8524	0.47802	0.47918	1.0	9457	1	-0.8524
PARD3	6	0.00041401	0.0022101	0.248531	169	5	-0.79931	0.96552	0.96552	1.0	19285	0	-0.79931
MRPS21	6	0.0004177	0.0022285	0.249229	170	6	-0.37278	0.99958	0.99958	1.0	20407	0	-0.37278
RPS10-NUDT3	2	0.00042005	0.00082944	0.178687	171	2	-1.3133	0.99958	0.99958	1.0	20406	0	-1.3133
MED14	6	0.00042526	0.0022634	0.250602	172	5	-0.70925	0.87868	0.87864	1.0	17440	0	-0.70925
hsa-mir-4739	4	0.00042914	0.0016059	0.227214	173	4	-0.98784	0.99699	0.99699	1.0	20253	0	-0.98784
C22orf26	6	0.00043039	0.0022866	0.250677	174	3	-0.28553	0.62225	0.62223	1.0	12234	0	-0.28553
hsa-mir-1271	4	0.00043233	0.0016141	0.227214	175	3	-1.8184	0.87742	0.87725	1.0	17406	0	-1.8184
VPRBP	6	0.00043521	0.0023137	0.250677	176	5	-0.79776	0.90499	0.90512	1.0	17949	0	-0.79776
GADD45GIP1	6	0.00043772	0.0023253	0.250677	177	5	-0.58746	0.4191	0.42684	1.0	8452	1	-0.58746
MEGF11	6	0.00044104	0.0023422	0.250972	178	6	-0.67315	0.99956	0.99955	1.0	20404	0	-0.67315
C5orf34	6	0.00044626	0.0023693	0.251327	179	6	-0.98543	0.99955	0.99955	1.0	20403	0	-0.98543
TUBB8	6	0.00044773	0.0023756	0.251327	180	4	-0.58013	0.4169	0.42495	1.0	8409	1	-0.58013
C12orf79	5	0.0004506	0.0020771	0.240169	181	3	-1.0086	0.6226	0.62316	1.0	12240	0	-1.0086
PPIAL4D	3	0.0004571	0.0013451	0.223819	182	3	-1.7485	0.99954	0.99954	1.0	20401	0	-1.7485
PSMA2	6	0.00045862	0.0024312	0.252576	183	6	-0.97995	0.99954	0.99954	1.0	20400	0	-0.97995
TRIM48	4	0.00046216	0.0017365	0.228477	184	3	-1.0738	0.75485	0.75468	1.0	14876	0	-1.0738
ELP5	6	0.00046413	0.0024646	0.25362	185	5	-0.87218	0.91851	0.91859	1.0	18245	0	-0.87218
HIST2H2BF	6	0.00046486	0.0024661	0.25362	186	6	-0.91827	0.99954	0.99953	1.0	20399	0	-0.91827
RPL13A	6	0.00047787	0.0025236	0.258243	187	6	-0.78558	0.99952	0.99952	1.0	20398	0	-0.78558
hsa-mir-1303	4	0.00048026	0.0018033	0.228477	188	2	-0.30451	0.27172	0.27858	1.0	6207	1	-0.30451
SPATA5L1	6	0.00048368	0.0025541	0.260048	189	5	-1.2122	0.95664	0.95662	1.0	19076	0	-1.2122
hsa-mir-1254-2	4	0.00048627	0.0018241	0.228477	190	4	-0.26497	0.99602	0.99598	1.0	20216	0	-0.26497
VARS2	6	0.00048657	0.0025667	0.260048	191	5	-0.69106	0.96578	0.96579	1.0	19292	0	-0.69106
RAB41	6	0.00048921	0.0025846	0.260572	192	5	-1.0606	0.95297	0.953	1.0	19002	0	-1.0606
GSK3A	6	0.00050166	0.0026518	0.266041	193	5	-1.0566	0.92387	0.92394	1.0	18377	0	-1.0566
HIST1H4D	6	0.00050481	0.0026692	0.266482	194	5	-1.0773	0.055852	0.10389	0.964524	2152	1	-1.0773
ATP2A2	6	0.00050828	0.0026871	0.266966	195	6	-0.89583	0.99862	0.99861	1.0	20339	0	-0.89583
SPIN4	6	0.00051626	0.0027239	0.268388	196	4	-0.9679	0.40494	0.41494	1.0	8220	1	-0.9679
hsa-mir-5692c-2	4	0.0005217	0.0019489	0.233252	197	4	-0.88346	0.99948	0.99947	1.0	20397	0	-0.88346
FTSJ2	6	0.00052275	0.0027539	0.268388	198	4	-1.0265	0.6116	0.61161	1.0	12020	0	-1.0265
SOX2	6	0.00052663	0.0027704	0.268698	199	4	-0.50478	0.9385	0.93859	1.0	18672	0	-0.50478
NANOG	6	0.00052889	0.0027834	0.268698	200	4	-0.9589	0.72357	0.72371	1.0	14281	0	-0.9589
hsa-mir-1255b-2	3	0.00054951	0.0015851	0.227214	201	3	-1.0839	0.99945	0.99946	1.0	20395	0	-1.0839
GINS1	6	0.00055132	0.0029	0.276053	202	6	-0.74447	0.99945	0.99944	1.0	20394	0	-0.74447
FCGR1A	4	0.00055383	0.0020626	0.240169	203	4	-1.1846	0.99945	0.99944	1.0	20393	0	-1.1846
ORC4	6	0.00056219	0.0029643	0.280353	204	4	-0.68379	0.64868	0.64855	1.0	12762	0	-0.68379
MRPS30	6	0.00056356	0.0029726	0.280353	205	4	-0.33674	0.099611	0.16532	0.983985	3348	1	-0.33674
FCGR1B	4	0.00057101	0.0021414	0.243482	206	4	-1.4974	0.99943	0.99943	1.0	20392	0	-1.4974
PWP1	6	0.00057989	0.0030577	0.282135	207	6	-0.90657	0.99942	0.99942	1.0	20391	0	-0.90657
PPP1R15B	6	0.00058101	0.0030659	0.282135	208	5	-0.79266	0.75201	0.75213	1.0	14836	0	-0.79266
NRDE2	6	0.00058519	0.0030892	0.282135	209	5	-0.93703	0.69936	0.6994	1.0	13778	0	-0.93703
TCEB3	6	0.00058638	0.0031008	0.282135	210	5	-0.56478	0.84705	0.84698	1.0	16757	0	-0.56478
ABHD3	6	0.00059217	0.0031293	0.282135	211	2	-0.42765	0.89817	0.89828	1.0	17819	0	-0.42765
HIST1H2BE	6	0.00059831	0.0031598	0.283633	212	5	-0.56904	0.32586	0.35228	1.0	6985	1	-0.56904
COQ10A	6	0.00060169	0.0031782	0.284037	213	6	-1.3018	0.99902	0.99901	1.0	20366	0	-1.3018
hsa-mir-6743	4	0.00060816	0.0022653	0.250602	214	4	-1.0645	0.99939	0.9994	1.0	20390	0	-1.0645
HSPB1	6	0.00061086	0.0032203	0.285514	215	6	-0.99788	0.99939	0.99939	1.0	20389	0	-0.99788
HSF1	6	0.00061606	0.0032536	0.285514	216	6	-0.85578	0.99938	0.99939	1.0	20388	0	-0.85578
PITPNB	6	0.00061737	0.0032609	0.285514	217	6	-0.78885	0.99938	0.99938	1.0	20387	0	-0.78885
hsa-mir-3180-3	4	0.00061866	0.002305	0.250677	218	3	-0.59575	0.91791	0.91787	1.0	18231	0	-0.59575
MCTS1	6	0.0006198	0.0032711	0.285514	219	4	-0.4026	0.93583	0.9359	1.0	18610	0	-0.4026
CWC15	6	0.00062335	0.0032832	0.285514	220	3	-0.47599	0.041031	0.08292	0.953158	1742	2	-0.47599
hsa-mir-485	4	0.00062618	0.0023272	0.250677	221	4	-1.2043	0.99937	0.99938	1.0	20386	0	-1.2043
CYCS	6	0.00062982	0.0033194	0.285652	222	5	-0.56481	0.53031	0.53019	1.0	10422	0	-0.56481
THAP1	6	0.00063045	0.0033219	0.285652	223	6	-0.83875	0.99937	0.99937	1.0	20385	0	-0.83875
POLR3K	6	0.00063816	0.0033586	0.287605	224	3	0.0037114	0.056882	0.10533	0.964524	2193	2	0.0037114
